session,session_date,session_time,participant,sliders_correct,dict_treatment,dict_group_uid,dict_id_in_group,dict_attempt_1,dict_attempt_2,dict_attempt_3,dict_ans_check,dict_group_give,dict_group_die_1,dict_group_die_2,dict_payoff,dict_gachter_circles,bret_boxes_collected,bret_bomb,bret_payoff,svo_group_uid,svo_role,svo_1,svo_2,svo_3,svo_4,svo_5,svo_6,svo_mean_self,svo_mean_other,svo_score,svo_classification,svo_paid_choice,svo_payoff,risque_general,risque_sante,risque_argent,patience,confiance_autres,confiance_autres_general,confiance_autres_famille,confiance_autres_travail,year_of_birth,gender,nationality,marital_status,student,study_level,study_discipline,socioprofessional_group,politique,experiment_participation,part2_selected_task,comments,final_payoff
iska0u63,2023-06-05,15:33:09.775926,0ro2awf8,20,0,s12g8,1,,,,0,0,0,0,30.0,1.0,50,False,5.0,s12g9,2,0,8,8,8,0,0,92.5,55.833,7.815,individualist,2.0,50.0,8,2,8,10,0,3,7,4,1998,1,FR,0,True,5,6,,5,True,2,,32.5
ccxcrzzr,2021-10-14,09:04:30.330201,0urucmby,20,3,s8g4,1,1.0,1.0,0.0,0,0,2,0,40.0,,50,True,0.0,s8g3,2,0,8,8,8,0,8,90.0,61.667,16.261,individualist,1.0,85.0,5,0,2,10,1,5,10,6,1998,1,FR,0,True,2,26,,5,True,1,,40.0
9hkdzuk6,2021-12-02,11:12:19.585215,1fvb217l,20,1,s5g2,1,2.0,2.0,2.0,0,0,5,0,20.0,,50,True,0.0,s5g2,1,0,8,8,8,0,0,92.5,55.833,7.815,individualist,2.0,100.0,6,4,5,9,0,3,7,2,1995,1,FR,0,True,4,8,,5,True,2,,25.0
ccxcrzzr,2021-10-14,09:04:30.349788,1i3qoa61,20,3,s8g7,2,2.0,1.0,0.0,1,6,1,0,6.0,,60,False,6.0,s8g7,2,0,8,8,8,0,0,92.5,55.833,7.815,individualist,3.0,100.0,7,0,7,8,1,5,7,4,1991,1,DZ,0,False,5,21,2.0,4,True,2,rsn,11.0
obg57lsl,2022-02-28,10:11:13.243401,1jz5td7l,20,3,s18g8,2,1.0,1.0,0.0,0,8,5,0,8.0,,30,False,3.0,s18g3,2,0,8,8,7,1,0,90.833,58.667,11.983,individualist,4.0,68.0,6,0,4,0,0,6,9,6,2000,1,FR,0,True,3,11,,7,False,2,,11.4
pb87jhkl,2023-10-05,10:04:54.850641,1kagq804,20,1,s19g2,2,2.0,2.0,2.0,0,0,6,0,10.0,3.0,75,True,0.0,s19g3,1,0,8,8,8,0,0,92.5,55.833,7.815,individualist,3.0,85.0,5,3,0,7,1,8,10,7,2005,1,FR,0,True,0,3,,3,False,2,,14.25
mbii9qpy,2023-07-17,14:05:24.508005,1kovq479,20,3,s17g3,1,1.0,0.0,0.0,1,15,2,0,25.0,4.0,20,True,0.0,s17g6,2,0,8,7,5,8,2,80.667,71.333,34.824,prosocial,6.0,50.0,6,3,1,5,1,5,4,5,1994,0,DZ,0,False,5,26,2.0,0,True,2,experience économique bien décrite,27.5
4j0x1iqn,2021-10-14,10:40:10.352436,1tjz9kyc,19,2,s1g7,1,0.0,0.0,1.0,0,5,6,0,25.0,,45,False,4.5,s1g8,2,2,8,2,0,8,0,74.0,77.333,48.715,prosocial,1.0,15.0,10,0,3,10,0,5,8,6,1993,0,CG,0,True,4,6,,8,True,1,,29.5
4j0x1iqn,2021-10-14,10:40:10.100827,1ulx5wr3,20,2,s1g4,1,0.0,2.0,0.0,2,0,1,0,30.0,,50,False,5.0,s1g5,2,0,8,8,8,0,0,92.5,55.833,7.815,individualist,6.0,72.0,5,5,5,10,0,4,2,7,1989,1,FR,0,False,2,3,5.0,8,True,2,,33.6
tocih6v9,2021-10-14,13:05:54.451032,1v7am61h,19,0,s25g5,2,,,,0,10,0,0,20.0,,40,False,4.0,s25g5,2,5,6,1,4,4,8,77.167,66.333,31.015,prosocial,2.0,50.0,7,6,7,3,0,5,8,4,1999,1,FR,0,True,3,25,,7,True,1,,24.0
ucou4xpq,2023-10-05,11:07:37.832173,1y83vwzc,20,2,s26g3,2,0.0,0.0,0.0,1,10,2,0,30.0,3.0,40,False,4.0,s26g3,1,0,8,7,6,4,4,85.0,66.833,25.685,prosocial,6.0,93.0,8,3,6,3,0,7,10,4,2002,0,FR,0,True,2,6,,3,True,2,,34.65
9hkdzuk6,2021-12-02,11:12:19.713536,1zcd8au0,20,1,s5g6,2,2.0,2.0,2.0,0,5,5,0,15.0,,70,True,0.0,s5g6,2,0,8,8,3,4,8,82.167,74.667,37.482,prosocial,2.0,50.0,8,4,7,7,0,5,1,4,1997,0,FR,0,True,6,26,,4,True,2,,17.5
1picali9,2021-09-23,14:04:51.013565,249e7qr6,20,0,s0g10,2,,,,0,5,0,0,15.0,,30,True,0.0,s0g9,1,0,6,8,4,3,3,84.833,66.833,25.792,prosocial,4.0,68.0,4,0,3,8,0,3,8,5,2000,1,CO,0,True,2,6,,5,True,2,,18.4
v645jz3v,2021-12-02,14:36:58.216616,24o5l3e2,20,3,s27g8,1,1.0,2.0,1.0,2,10,3,0,10.0,,20,False,2.0,s27g6,2,3,8,6,8,0,0,91.0,52.167,3.025,individualist,3.0,85.0,6,4,7,3,0,3,8,0,1995,0,FR,0,False,5,14,5.0,8,False,1,,12.0
zknsvvur,2021-10-07,14:05:12.407468,250lphar,20,3,s31g5,2,1.0,1.0,0.0,0,10,2,0,30.0,,50,True,0.0,s31g5,2,0,8,8,4,4,8,83.0,73.0,34.875,prosocial,5.0,81.0,3,4,2,9,1,8,5,6,2000,1,FR,0,True,3,9,,4,True,2,,34.05
77fw3e9h,2021-10-07,15:37:35.280057,27kv5rz0,20,0,s3g2,2,,,,0,1,0,0,11.0,,85,False,8.5,s3g4,1,0,8,8,8,0,0,92.5,55.833,7.815,individualist,1.0,85.0,2,3,3,8,0,5,9,4,1997,1,FR,0,True,5,19,,4,True,1,,19.5
pb87jhkl,2023-10-05,10:04:54.833964,27y2f7av,20,1,s19g9,1,1.0,2.0,0.0,2,10,5,0,10.0,4.0,99,True,0.0,s19g8,1,0,8,0,4,4,8,77.167,75.5,43.187,prosocial,1.0,85.0,5,5,5,8,0,5,0,6,2006,1,FR,0,True,0,6,,2,False,1,,10.0
ricx69vg,2021-10-07,12:35:20.468634,293mdph6,20,1,s23g8,1,1.0,2.0,2.0,1,10,6,0,30.0,,50,False,5.0,s23g8,2,0,8,8,4,4,8,83.0,73.0,34.875,prosocial,1.0,85.0,7,4,9,7,1,9,10,9,2000,1,FR,0,True,2,9,,6,False,1,,35.0
ql3gbopg,2022-02-28,14:38:37.609834,29rm0cic,20,0,s20g6,1,,,,0,0,0,0,30.0,,50,True,0.0,s20g6,1,0,8,8,8,0,0,92.5,55.833,7.815,individualist,4.0,85.0,5,0,4,5,0,6,10,7,1994,0,FR,0,True,5,19,,4,True,1,,30.0
ccxcrzzr,2021-10-14,09:04:30.466950,2b3ox2po,20,3,s8g3,2,1.0,1.0,0.0,0,5,4,0,25.0,,75,False,7.5,s8g3,1,0,8,8,3,4,8,82.167,74.667,37.482,prosocial,1.0,85.0,5,0,2,7,0,4,7,5,2004,0,FR,0,True,1,8,,2,False,1,"C'était fun ! Je suis contente d'avoir pris le risque sur le jeu des 100 cases, et je ne m'attendais pas à gagner autant x)",32.5
obg57lsl,2022-02-28,10:11:13.185797,2frh0jmk,20,3,s18g6,2,1.0,0.0,0.0,1,5,6,0,25.0,,10,False,1.0,s18g7,1,0,8,8,4,0,0,89.667,63.0,18.145,individualist,1.0,85.0,6,3,5,9,1,7,9,6,1997,0,AM,0,True,5,6,,5,True,1,Efficace,26.0
yqf918j3,2023-09-11,13:05:09.952201,2hnubs28,40,1,s30g7,2,1.0,2.0,2.0,1,10,1,0,20.0,1.0,50,False,5.0,s30g6,1,0,8,8,4,4,8,83.0,73.0,34.875,prosocial,3.0,85.0,5,4,5,8,0,3,8,7,2000,0,FR,0,True,3,26,,2,True,2,,24.25
pb87jhkl,2023-10-05,10:04:54.782644,2kuud59v,20,1,s19g10,1,2.0,2.0,2.0,0,5,5,0,15.0,2.0,25,False,2.5,s19g10,2,0,8,8,6,0,0,91.0,59.333,12.824,individualist,4.0,15.0,3,4,7,2,0,2,4,0,2002,0,FR,0,True,0,0,,2,True,2,,15.75
pb87jhkl,2023-10-05,10:04:55.025538,2lu571ml,20,1,s19g8,1,2.0,2.0,2.0,0,5,3,0,15.0,5.0,22,False,2.2,s19g7,1,0,8,8,6,0,0,91.0,59.333,12.824,individualist,4.0,76.0,5,1,4,6,0,5,10,2,2005,0,FR,0,True,0,0,,7,True,1,,17.2
9hkdzuk6,2021-12-02,11:12:19.796927,2o8mb04s,20,1,s5g4,1,2.0,2.0,2.0,0,10,1,0,10.0,,40,False,4.0,s5g5,1,0,8,8,3,4,8,82.167,74.667,37.482,prosocial,3.0,85.0,7,10,0,5,0,7,10,8,2001,0,FR,0,True,0,6,,0,True,1,,14.0
zknsvvur,2021-10-07,14:05:12.190803,2oqstudn,20,3,s31g3,2,1.0,1.0,0.0,0,10,6,0,30.0,,60,True,0.0,s31g4,1,0,7,8,3,4,8,81.833,74.0,37.014,prosocial,6.0,85.0,8,1,5,7,0,2,8,5,2002,1,FR,0,True,1,6,,7,True,2,,34.25
lumtsvlr,2023-10-05,15:13:23.697130,2uahjxtf,20,3,s16g10,2,2.0,0.0,0.0,2,10,3,0,10.0,7.0,10,False,1.0,s16g7,1,6,0,8,3,4,7,80.0,59.5,17.571,individualist,2.0,85.0,10,8,8,10,1,9,10,9,1997,1,CO,0,True,3,13,,2,True,1,,11.0
yqf918j3,2023-09-11,13:05:09.768785,33148mu6,40,1,s30g8,1,0.0,1.0,1.0,3,1,3,0,19.0,1.0,60,True,0.0,s30g8,2,0,8,8,0,4,8,80.0,80.0,45.0,prosocial,6.0,85.0,9,4,8,7,0,7,7,0,2005,1,FR,0,True,1,6,,6,False,1,,19.0
iska0u63,2023-06-05,15:33:10.010347,3c5o9x2u,20,0,s12g7,1,,,,0,10,0,0,20.0,7.0,15,False,1.5,s12g7,2,0,8,8,8,0,0,92.5,55.833,7.815,individualist,1.0,85.0,7,2,2,3,1,7,10,5,1999,1,FR,0,True,5,23,,3,True,2,"J'aurai vraiment du garder les 20€ en partie 1, j'en ai marre de manger des pâtes",24.25
mbii9qpy,2023-07-17,14:05:24.531636,3dou8lmq,20,3,s17g7,2,1.0,1.0,0.0,0,0,1,0,0.0,6.0,10,False,1.0,s17g5,2,0,8,8,4,1,8,86.167,69.833,28.739,prosocial,3.0,85.0,4,1,6,6,0,1,3,0,2003,0,FR,0,True,0,21,,0,True,1,,1.0
77fw3e9h,2021-10-07,15:37:35.103469,3eogmgve,20,0,s3g5,1,,,,0,0,0,0,30.0,,70,False,7.0,s3g6,1,0,8,8,8,0,0,92.5,55.833,7.815,individualist,1.0,85.0,1,0,1,8,0,0,6,4,1994,1,MA,0,False,5,6,5.0,0,True,1,c'était une agréable expérience puisqu'elle pointe sur l'étude de l'économie comportementale,37.0
obg57lsl,2022-02-28,10:11:13.100707,3f8o1z6u,20,3,s18g4,2,1.0,1.0,0.0,0,10,5,0,10.0,,50,False,5.0,s18g6,2,0,8,8,3,4,8,82.167,74.667,37.482,prosocial,2.0,50.0,7,3,6,6,0,3,10,2,2002,1,LB,0,True,1,6,,5,True,1,trust is earned not given,15.0
t7l852vx,2023-06-06,14:04:26.725577,3ht2mnti,20,1,s24g8,1,2.0,2.0,0.0,1,10,2,0,30.0,3.0,50,False,5.0,s24g8,2,8,7,8,8,0,1,91.833,44.167,-7.938,individualist,5.0,50.0,4,1,3,6,0,6,9,4,2000,0,FR,0,True,4,6,,4,False,1,bonne expérience,35.0
t7l852vx,2023-06-06,14:04:26.743110,3ibq8a6z,20,1,s24g3,1,2.0,1.0,2.0,1,5,2,0,35.0,4.0,40,False,4.0,s24g6,2,0,8,8,0,4,8,80.0,80.0,45.0,prosocial,1.0,85.0,4,3,4,8,1,5,7,7,1995,1,FR,0,False,6,3,8.0,0,True,2,,39.25
vffbvolu,2021-10-07,10:33:49.617011,3iohjqdo,20,2,s28g2,2,1.0,2.0,1.0,2,0,4,0,20.0,,9,False,0.9,s28g2,2,8,1,7,6,1,0,87.167,43.833,-9.421,individualist,6.0,85.0,9,8,4,6,0,5,5,3,1994,1,FR,1,True,5,21,,5,True,1,,20.9
vffbvolu,2021-10-07,10:33:49.550342,3piil3qu,20,2,s28g7,2,1.0,0.0,1.0,1,10,2,0,30.0,,50,False,5.0,s28g7,1,0,8,8,8,0,0,92.5,55.833,7.815,individualist,6.0,100.0,9,4,7,10,0,3,10,5,1991,1,SN,0,True,5,6,,0,True,2,,35.0
cupsfubn,2021-12-02,13:09:29.880819,3qtw35zp,19,2,s9g3,2,1.0,2.0,1.0,2,10,3,0,10.0,,50,True,0.0,s9g3,1,0,8,8,5,4,8,83.667,71.167,32.158,prosocial,1.0,85.0,5,1,3,7,0,4,9,5,1995,1,FR,0,True,6,17,,3,True,2,instructions partie 1 peu claires,14.25
ucou4xpq,2023-10-05,11:07:37.932302,3r54dy8p,20,2,s26g5,1,0.0,0.0,1.0,0,10,3,0,20.0,2.0,29,False,2.9,s26g7,2,0,8,8,7,0,0,91.833,57.667,10.386,individualist,2.0,50.0,4,1,6,9,0,5,10,1,2003,0,FR,0,True,2,6,,5,True,1,,22.9
bgvzfud6,2023-06-06,15:44:36.430712,3ycm7fdm,20,2,s7g4,1,1.0,2.0,2.0,3,5,5,0,25.0,2.0,35,True,0.0,s7g4,2,3,1,5,7,1,8,84.0,56.0,10.008,individualist,1.0,85.0,7,4,3,2,0,4,10,6,2006,0,FR,0,True,0,9,,6,True,2,Intéressante,29.25
cupsfubn,2021-12-02,13:09:29.940202,40bd13bz,20,2,s9g6,1,0.0,0.0,0.0,1,5,6,0,25.0,,10,False,1.0,s9g6,1,8,0,8,8,0,0,90.0,38.333,-16.261,competitive,3.0,85.0,5,1,5,10,0,5,9,7,1998,0,BJ,0,True,3,6,,5,True,1,,26.0
iska0u63,2023-06-05,15:33:09.759417,41a1b1dn,20,0,s12g5,2,,,,0,8,0,0,18.0,1.0,34,False,3.4,s12g7,1,0,8,8,8,4,8,85.833,65.833,23.838,prosocial,1.0,85.0,8,3,7,8,0,5,8,4,2002,1,FR,0,True,1,6,,5,True,1,Merci,21.4
cupsfubn,2021-12-02,13:09:29.923536,45lc0cr3,20,2,s9g3,1,0.0,0.0,1.0,0,10,3,0,20.0,,80,False,8.0,s9g2,1,0,8,8,3,4,8,82.167,74.667,37.482,prosocial,2.0,100.0,7,7,7,4,0,5,10,7,2000,1,FR,0,True,3,5,,7,True,2,,25.0
jh8e81hs,2021-10-14,14:35:03.748266,45w41ugk,20,1,s13g4,2,0.0,0.0,0.0,3,10,1,0,20.0,,60,False,6.0,s13g4,2,0,8,8,8,0,0,92.5,55.833,7.815,individualist,5.0,75.0,8,2,8,8,0,5,9,4,1999,0,MA,0,True,4,5,,2,True,2,,23.75
4j0x1iqn,2021-10-14,10:40:10.235764,47azzhfp,20,2,s1g2,2,2.0,1.0,0.0,3,8,6,0,28.0,,70,False,7.0,s1g2,2,0,8,8,3,4,8,82.167,74.667,37.482,prosocial,2.0,50.0,8,2,4,0,1,8,10,9,1981,0,FR,1,False,5,2,5.0,0,False,1,,35.0
yqf918j3,2023-09-11,13:05:09.718779,4a5zi3ek,40,1,s30g9,1,1.0,2.0,2.0,1,5,6,0,35.0,1.0,20,False,2.0,s30g7,1,0,3,8,8,0,4,89.833,55.167,7.391,individualist,3.0,85.0,4,2,2,7,0,6,7,5,2005,1,ES,0,True,1,6,,5,False,1,,37.0
lumtsvlr,2023-10-05,15:13:23.915042,4ebjofpl,20,3,s16g3,1,1.0,1.0,0.0,0,10,1,0,10.0,7.0,50,True,0.0,s16g2,2,0,8,8,8,0,0,92.5,55.833,7.815,individualist,4.0,47.0,2,2,0,8,0,1,8,4,2004,1,FR,0,True,2,6,,8,True,1,,10.0
obg57lsl,2022-02-28,10:11:13.343641,4i2qfwnj,20,3,s18g3,2,0.0,1.0,0.0,1,5,1,0,5.0,,50,True,0.0,s18g2,1,0,8,8,8,4,8,85.833,65.833,23.838,prosocial,4.0,85.0,6,4,7,9,0,3,9,5,1999,1,FR,0,True,0,2,,3,True,2,,9.25
zoyfmdzc,2023-09-11,10:06:16.079364,4i3jonou,40,0,s32g3,1,,,,0,8,0,0,22.0,6.0,50,False,5.0,s32g3,2,0,8,8,4,2,6,85.833,69.5,28.555,prosocial,4.0,47.0,7,3,2,3,1,4,10,4,2002,0,FR,0,True,3,24,,1,True,1,,27.0
t7l852vx,2023-06-06,14:04:26.893283,4ihgsbxa,20,1,s24g2,1,1.0,2.0,0.0,2,5,1,0,15.0,2.0,51,False,5.1,s24g2,2,0,8,8,4,4,7,83.333,72.333,33.822,prosocial,6.0,68.0,5,2,3,4,0,4,7,4,2002,1,FR,0,True,3,0,,4,False,2,,18.4
56arlii3,2021-10-07,09:04:01.816615,4npjc9zj,18,3,s2g6,2,1.0,1.0,0.0,0,10,2,0,30.0,,63,False,6.3,s2g6,1,0,8,8,8,0,0,92.5,55.833,7.815,individualist,4.0,85.0,5,4,4,8,0,5,10,2,1991,0,KZ,0,False,5,6,2.0,8,True,2,,34.25
ccxcrzzr,2021-10-14,09:04:30.483657,4pim2746,20,3,s8g2,2,1.0,2.0,0.0,1,10,2,0,30.0,,30,False,3.0,s8g2,1,0,8,8,3,4,8,82.167,74.667,37.482,prosocial,5.0,75.0,10,7,4,8,0,5,8,6,2001,1,FR,0,True,3,5,,4,True,2,"C'est l'expérience que j'ai préféré faire, les parties sont plutôt originales",33.75
yqf918j3,2023-09-11,13:05:09.852185,4t2pnjmw,40,1,s30g5,1,2.0,2.0,2.0,0,2,6,0,38.0,1.0,4,False,0.4,s30g2,1,0,8,8,8,0,0,92.5,55.833,7.815,individualist,1.0,85.0,7,2,8,1,0,3,5,2,2005,1,FR,0,True,0,6,,5,False,1,"J'a bien aimé cette expérience,",38.4
56arlii3,2021-10-07,09:04:01.943471,4xnvxw0h,20,3,s2g2,2,0.0,0.0,0.0,2,5,5,0,5.0,,70,False,7.0,s2g3,2,0,8,8,4,3,5,85.0,69.833,29.538,prosocial,3.0,85.0,1,0,3,2,1,4,10,5,2002,0,FR,0,True,1,6,,2,True,2,,9.25
ql3gbopg,2022-02-28,14:38:37.526478,4xt3t1cu,19,0,s20g7,1,,,,0,1,0,0,29.0,,60,False,6.0,s20g7,2,0,8,8,4,2,0,87.667,65.167,21.933,individualist,4.0,58.0,7,7,4,5,0,7,9,5,1998,1,FR,0,True,3,6,,5,True,2,,31.9
ucou4xpq,2023-10-05,11:07:37.965695,4y7v71wq,20,2,s26g6,1,0.0,0.0,1.0,0,5,5,0,25.0,3.0,20,False,2.0,s26g2,1,0,8,8,4,4,8,83.0,73.0,34.875,prosocial,2.0,100.0,7,3,8,5,0,5,9,3,2005,1,FR,0,True,0,3,,8,False,2,Très clair et précis. Bonne expérience.,30.0
iska0u63,2023-06-05,15:33:09.893531,51ajjgza,20,0,s12g4,2,,,,0,10,0,0,20.0,2.0,10,True,0.0,s12g4,2,0,8,8,8,0,0,92.5,55.833,7.815,individualist,2.0,50.0,3,0,0,10,1,7,9,7,1989,1,FR,0,False,0,26,5.0,9,True,1,,20.0
56arlii3,2021-10-07,09:04:01.960075,52wqmzcc,20,3,s2g4,2,1.0,1.0,0.0,0,5,3,0,5.0,,50,True,0.0,s2g4,1,0,8,8,4,4,8,83.0,73.0,34.875,prosocial,2.0,100.0,7,6,7,8,1,7,9,7,1997,1,FR,0,True,5,7,,4,True,1,,5.0
ricx69vg,2021-10-07,12:35:20.635405,54a6d7jg,20,1,s23g9,2,2.0,2.0,2.0,0,0,2,0,10.0,,20,False,2.0,s23g9,2,0,8,8,4,4,8,83.0,73.0,34.875,prosocial,5.0,50.0,2,2,5,6,1,7,10,5,1999,0,FR,0,True,5,6,,3,False,2,,12.5
qpboszoi,2023-09-11,14:35:07.013615,5e13t8ob,40,2,s21g4,2,0.0,0.0,0.0,1,10,3,0,10.0,6.0,55,False,5.5,s21g6,1,8,8,8,8,0,0,92.5,44.167,-7.815,individualist,4.0,85.0,7,4,5,6,0,0,10,5,2004,1,LB,0,True,1,21,,7,True,2,,14.25
77fw3e9h,2021-10-07,15:37:35.205371,5fyt864i,20,0,s3g3,2,,,,0,10,0,0,20.0,,25,True,0.0,s3g2,2,0,8,8,3,4,8,82.167,74.667,37.482,prosocial,1.0,85.0,7,6,7,7,0,6,10,3,2002,0,FR,0,True,1,9,,5,True,2,,24.25
hib3cqt6,2023-07-17,10:14:53.315085,5gq3xh7n,20,0,s11g3,1,,,,0,10,0,0,20.0,4.0,20,False,2.0,s11g2,1,0,8,8,3,4,8,82.167,74.667,37.482,prosocial,4.0,63.0,6,7,0,10,0,0,10,0,2006,0,FR,0,True,0,26,,3,True,2,"Je n'avais jamais fait une expérience de la même sorte, sa change et j'ai beaucoup aimé.",23.15
ql3gbopg,2022-02-28,14:38:37.543326,5hdkwe8y,20,0,s20g5,1,,,,0,1,0,0,29.0,,70,True,0.0,s20g5,2,0,8,8,7,2,4,88.667,62.833,18.36,individualist,3.0,100.0,8,6,9,5,1,7,8,6,2004,1,FR,0,True,1,15,,7,True,2,,34.0
v645jz3v,2021-12-02,14:36:58.081571,5l8fb0zb,20,3,s27g4,2,1.0,1.0,0.0,0,5,5,0,5.0,,27,False,2.7,s27g2,1,0,8,8,3,1,3,86.833,67.833,25.834,prosocial,2.0,100.0,7,5,6,3,0,1,8,0,2000,1,DZ,0,True,3,6,,5,False,1,,7.7
ricx69vg,2021-10-07,12:35:20.518644,5mcpbwx5,20,1,s23g6,2,1.0,1.0,0.0,3,5,2,0,15.0,,9,False,0.9,s23g5,1,1,7,5,4,4,8,80.5,71.833,35.596,prosocial,2.0,98.0,10,3,5,2,0,3,6,2,2001,0,FR,0,True,1,6,,5,True,1,,15.9
9hkdzuk6,2021-12-02,11:12:19.763662,5oiz7fqv,18,1,s5g5,1,1.0,2.0,0.0,2,5,3,0,15.0,,18,False,1.8,s5g4,2,0,8,8,5,1,1,89.0,62.833,18.214,individualist,3.0,85.0,6,6,4,3,0,5,10,5,1999,0,FR,0,True,4,6,,5,False,1,,16.8
vrmpn3zv,2023-10-05,14:08:37.899026,5p2gewlg,20,2,s29g6,2,0.0,2.0,1.0,1,5,1,0,5.0,4.0,20,True,0.0,s29g4,1,0,8,0,0,0,8,78.333,78.333,45.0,prosocial,3.0,50.0,6,2,5,0,0,2,10,0,1999,0,FR,2,True,5,6,,4,True,2,,7.5
ricx69vg,2021-10-07,12:35:20.418094,5pms8bfx,20,1,s23g6,1,2.0,0.0,2.0,1,5,2,0,35.0,,65,True,0.0,s23g6,2,0,8,8,4,4,8,83.0,73.0,34.875,prosocial,5.0,75.0,6,4,4,7,0,1,7,1,1996,0,FR,2,True,5,6,,5,True,2,,38.75
